Trip_ID,travel_time_minutes
TRIP_00001,15.3
TRIP_00002,3.0
TRIP_00003,92.7
TRIP_00004,10.6
TRIP_00005,42.0
TRIP_00006,6.1
TRIP_00007,70.6
TRIP_00008,27.5
TRIP_00009,17.0
TRIP_00010,38.6
TRIP_00011,26.8
TRIP_00012,3.6
TRIP_00013,97.1
TRIP_00014,127.9
TRIP_00015,14.0
TRIP_00016,27.6
TRIP_00017,32.1
TRIP_00018,40.4
TRIP_00019,33.4
TRIP_00020,19.8
TRIP_00021,63.8
TRIP_00022,11.5
TRIP_00023,45.4
TRIP_00024,7.8
TRIP_00025,141.5
TRIP_00026,65.1
TRIP_00027,21.4
TRIP_00028,7.6
TRIP_00029,19.9
TRIP_00030,32.9
TRIP_00031,35.3
TRIP_00032,14.3
TRIP_00033,21.7
TRIP_00034,38.5
TRIP_00035,26.0
TRIP_00036,7.2
TRIP_00037,46.4
TRIP_00038,35.6
TRIP_00039,30.6
TRIP_00040,65.6
TRIP_00041,22.5
TRIP_00042,9.3
TRIP_00043,66.6
TRIP_00044,19.5
TRIP_00045,144.0
TRIP_00046,23.1
TRIP_00047,15.6
TRIP_00048,43.7
TRIP_00049,69.6
TRIP_00050,51.3
TRIP_00051,35.9
TRIP_00052,54.8
TRIP_00053,16.4
TRIP_00054,23.0
TRIP_00055,47.4
TRIP_00056,30.7
TRIP_00057,23.6
TRIP_00058,6.0
TRIP_00059,19.6
TRIP_00060,26.2
TRIP_00061,9.7
TRIP_00062,25.1
TRIP_00063,87.7
TRIP_00064,17.7
TRIP_00065,24.2
TRIP_00066,21.9
TRIP_00067,21.5
TRIP_00068,71.1
TRIP_00069,20.7
TRIP_00070,33.8
TRIP_00071,51.8
TRIP_00072,23.1
TRIP_00073,15.0
TRIP_00074,32.1
TRIP_00075,114.3
TRIP_00076,40.6
TRIP_00077,41.3
TRIP_00078,31.1
TRIP_00079,12.7
TRIP_00080,51.9
TRIP_00081,26.0
TRIP_00082,25.1
TRIP_00083,26.3
TRIP_00084,22.6
TRIP_00085,26.7
TRIP_00086,9.0
TRIP_00087,13.1
TRIP_00088,41.0
TRIP_00089,29.2
TRIP_00090,46.3
TRIP_00091,58.1
TRIP_00092,43.9
TRIP_00093,73.9
TRIP_00094,41.1
TRIP_00095,74.7
TRIP_00096,14.3
TRIP_00097,40.1
TRIP_00098,11.4
TRIP_00099,37.1
TRIP_00100,32.4
TRIP_00101,55.3
TRIP_00102,28.3
TRIP_00103,44.8
TRIP_00104,23.5
TRIP_00105,24.3
TRIP_00106,24.0
TRIP_00107,19.9
TRIP_00108,24.6
TRIP_00109,33.5
TRIP_00110,11.6
TRIP_00111,31.1
TRIP_00112,13.2
TRIP_00113,187.9
TRIP_00114,42.0
TRIP_00115,12.2
TRIP_00116,14.1
TRIP_00117,8.0
TRIP_00118,57.7
TRIP_00119,29.5
TRIP_00120,38.8
TRIP_00121,12.2
TRIP_00122,13.1
TRIP_00123,21.6
TRIP_00124,60.8
TRIP_00125,29.5
TRIP_00126,88.3
TRIP_00127,24.7
TRIP_00128,35.7
TRIP_00129,44.3
